template_key,template_name,mode,distance_nm,angle_deg,target_range_nm,power_coeff_db,radar_direction_gain_db,jammer_mode_power_db,effective_jammer_power_db,jsr_db,jam_probability
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,70,70,20.0,16.0,-36.0,27.0,27.0,-44.50794132680758,0.00013615393619111277
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,70,80,20.0,16.0,-36.0,27.0,27.0,-44.50794132680758,0.00013615393619111277
mid_fcr_compact,Mid-Generation Fire Control Radar,sector,70,90,20.0,16.0,-36.0,27.0,27.0,-44.50794132680758,0.00013615393619111277
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,10,0,20.0,16.0,6.38160282421013e-05,23.0,23.0,4.394083289505801,0.7065769435363584
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,10,10,20.0,16.0,-18.20182644634626,23.0,23.0,-13.8078069728687,0.05943701730221464
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,10,20,20.0,16.0,-23.651364519313827,23.0,23.0,-19.257345045836267,0.020806394599687167
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,10,30,20.0,16.0,-29.99899108978337,23.0,23.0,-25.60497161630581,0.005934653371980931
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,10,40,20.0,16.0,-36.0,23.0,23.0,-31.60598052652244,0.0017945656158258575
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,10,50,20.0,16.0,-36.0,23.0,23.0,-31.60598052652244,0.0017945656158258575
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,10,60,20.0,16.0,-36.0,23.0,23.0,-31.60598052652244,0.0017945656158258575
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,10,70,20.0,16.0,-36.0,23.0,23.0,-31.60598052652244,0.0017945656158258575
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,10,80,20.0,16.0,-36.0,23.0,23.0,-31.60598052652244,0.0017945656158258575
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,10,90,20.0,16.0,-36.0,23.0,23.0,-31.60598052652244,0.0017945656158258575
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,20,0,20.0,16.0,6.38160282421013e-05,23.0,23.0,-1.6265166237738242,0.4193838334824447
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,20,10,20.0,16.0,-18.20182644634626,23.0,23.0,-19.828406886148326,0.01860250399364059
